# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TX, T10N
# 
  380,20160312,   27,   86,  -44
  380,20160313,   36,   97,  -25
  380,20160314,   29,   83,  -21
  380,20160315,   32,   78,  -45
  380,20160316,   42,   88,  -11
  380,20160317,   46,  106,  -24
  380,20160318,   23,   47,  -42
  380,20160319,   48,   61,   34
  380,20160320,   60,   88,   38
  380,20160321,   69,   97,   47
  380,20160322,   70,  113,   13
  380,20160323,   72,  104,   50
  380,20160324,   75,   93,   55
  380,20160325,   67,   96,    3
  380,20160326,   95,  154,  -11
  380,20160327,  100,  136,   66
  380,20160328,   94,  133,   47
  380,20160329,   82,  111,   47
  380,20160330,   92,  122,   58
  380,20160331,   63,   77,   47
  380,20160401,   79,  125,   12
  380,20160402,  112,  143,   63
  380,20160403,  159,  203,  111
  380,20160404,  132,  168,   87
  380,20160405,  103,  136,   51
  380,20160406,   91,  136,   52
  380,20160407,   69,  119,   29
  380,20160408,   73,  112,    4
  380,20160409,   95,  155,    3
  380,20160410,  111,  173,   61
  380,20160411,  140,  211,   49
  380,20160412,  109,  181,   31
  380,20160413,   89,  125,   26
  380,20160414,  106,  170,    5
  380,20160415,  117,  166,   86
  380,20160416,   91,  140,   23
  380,20160417,   60,  103,   -7
  380,20160418,   76,  130,  -10
  380,20160419,   90,  145,   15
  380,20160420,   83,  143,   -3
  380,20160421,  117,  194,    7
  380,20160422,  105,  148,   69
  380,20160423,   57,   95,  -12
  380,20160424,   37,   76,   -9
  380,20160425,   40,   74,   -6
  380,20160426,   30,   58,    4
  380,20160427,   42,   77,    7
  380,20160428,   51,  113,   -8
  380,20160429,   70,  112,   23
  380,20160430,   67,   92,   43
  380,20160501,   83,  132,    8
  380,20160502,  116,  185,    2
  380,20160503,  104,  147,    5
  380,20160504,   97,  150,   -4
  380,20160505,  134,  196,   40
  380,20160506,  177,  244,   62
  380,20160507,  203,  255,   99
  380,20160508,  201,  247,  118
  380,20160509,  197,  247,  126
  380,20160510,  172,  200,  140
  380,20160511,  193,  244,  116
  380,20160512,  179,  235,  112
  380,20160513,  169,  226,   92
  380,20160514,   88,  130,   41
  380,20160515,   85,  129,   44
  380,20160516,   94,  129,   57
  380,20160517,  129,  181,   67
  380,20160518,  140,  191,   72
  380,20160519,  132,  189,   69
  380,20160520,  138,  177,   84
  380,20160521,  189,  241,  123
  380,20160522,  165,  200,  126
  380,20160523,  110,  140,   98
  380,20160524,  110,  136,   83
  380,20160525,  119,  168,   78
  380,20160526,  163,  219,   53
  380,20160527,  168,  228,  105
  380,20160528,  171,  235,   96
  380,20160529,  163,  186,  118
  380,20160530,  157,  166,  149
  380,20160531,  164,  204,  139
  380,20160601,  153,  162,  121
  380,20160602,  176,  236,  152
  380,20160603,  161,  210,  146
  380,20160604,  158,  191,  146
